CANTIQU ES	-------⌫-|
D a m nede ube n eïssez uus	-⌫-⌫-⌫----⌫|--⌫-⌫------|--|
nuizeiu r sa	---||--⌫-⌫||
Be n eïssez tu	--⌫-⌫------|-|
l uiserne e uus	-⌫------||--|
teniebres a	--------||
Damnedeubeneïssez uusfuildree nues a	-------|---------|--|------||---||
Beneïss eterre a	--------⌫|----||
Dam ne deuloute	---⌫--⌫--|---||
sou ressa lztlui essiecles	---⌫-----⌫--|--|-|------|
Beneïssez uu s munt etertrea	---------|--⌫|---||-----||
Damnedeub enei ̈ssez uustu te s riens ger mnanzen	-------|-⌫----⌫----|--|--⌫--⌫|----|---⌫----|-|
Beneï ssezuus fu ntaines al	------⌫---|--|--⌫------|-|
Seig nurbe nei ̈ssez	----⌫--|--⌫---⌫----|
mersef luiuesa	---||-⌫-----||
B eneïssez uus baleinesetutes	-⌫--------|--|-------||----|
rienskisunt moües en e wes	----|-|---|-----|-|-⌫--|
Benei ̈ss ez tui toiseldel	-----⌫---⌫-|---⌫|----|--|
Be neïssez uustutes	--⌫-------|--|----|
fieresbestesetbissesal	-----|-----|-|-----|-|
Seignurben eïssez uusfildesh ummesa	------|---⌫------|--|--|--|-⌫----||
Benei ̈ssed	-----⌫----|
Damnedeu loute suressal zt	-------|---||--------⌫-|
lui e ssi ecl es	--|-⌫|--⌫---⌫-|
Beneïssezuu spreueire	---------|--⌫|-------|
Damnedeual	-------|-|
Beneï ssez uusserf	------⌫---|--|---|
D amnedeual	-⌫------|-|
Beneïssezuusesperiteuusanmes de s ius tesal	---------|--|------||--|----|--⌫|---⌫--|-|
Sei g nurbeneïssez uus saint	---⌫-⌫--|---------|--|----|
Beneïss ezuustrei	--------⌫-|--|---|
M ysahe la	-⌫-----⌫||
D amne deuloez esuressalc iez	-⌫----⌫--|---||---------⌫--|
luie s sie cles	--|-⌫|---⌫---|
Beneïssums l e	----------|-⌫|
Esper itlowme s uress alc ̧umluies	-----⌫-|---||-⌫-----⌫---⌫--|--|-|
Beneeizieso	------|--||
Sireelfirmamentdelcieleloab les	---|-|--------|--|---||----⌫--|
egloriouset sures salciez es	|-------|-|-----⌫------|-|
Deuloüms tei	--|-----|--|
S eignur r egehïsums	-⌫-----|-⌫---------|
T eiparmenable	-⌫-|---------|
Per reheno uredtuteterreA tei tuit	---⌫-|----⌫---|---|----||--|---|
ateilicieletutes poestezAteiche rubin	|--|-|---||----|------||--|---⌫----|
es eraphin c ilordnesde s angl esparuoiz	|-⌫------|-⌫-|-----|--⌫|----⌫-|--|---|
nientcessableescrient	----|-------|-------|
Sainzsainzsai nz	----|----|---⌫-|
Damn esdeu s	----⌫-----⌫|
P lainsuntli ci elela terre de	-⌫---|---|-|--⌫-||-|----|-|
la maiestédeta	-|-------|-|-|
Teilow ed li gloriou scuersde s	--|---⌫-|-|-------⌫|----|--⌫|
Teililoablesn umbresdes pro phetes	--|-|------|-⌫-----|--|---⌫-----|
Tei lowedlienbla nch iz ozd esmartirs	--|----|-|-----⌫---⌫-|-|-⌫-|------|
Te i regehists ainte	--⌫|-------|-⌫----|
Eg liseparle cerclede sterres	--⌫---|--|-|-----|--⌫|-----|
Perredegrant	----|-|----|
enour ableueireunsoul	-----⌫---|---||-|---|
Le saintneisconfortab le	-|----|---|---------⌫-|
Ture isdegloireo	-|--⌫-|-|-----||
Crist t uiesparmenables	----|-⌫|--|----------|
Ture ceush oumea del iurerle	-|--⌫---|-⌫---||---⌫----|-|
neturnasahis dourleue ntrede la	-|-----||---⌫---|-|--⌫---|-|-|
Tuuenculagu illun	-|----||---⌫----|
aüurisascreanz les rei gnesdesciels	------|-|-----|--|---⌫---|--|----|
Tu s iez ala destre	-|-⌫--||-|-----|
Deu enl agloi re	--|-|-⌫|----⌫-|
Tuies c reüz a uenires tre iugiere	-|--|-⌫----||----|--⌫--|------|
Teigierrep reiumssucur a	--|-----|-⌫-----|----||
tesseru anzke tu asr ach atezpar	--|----⌫--|-|-|-|-⌫---⌫---|--|
precius s anc	------|-⌫--|
F ailese stregueredunezde parmen able gl oire	-⌫-|--|-⌫---|---------|-|------⌫---|--⌫---|
o dtessainz	-⌫|--|----|
Salffaitunpueple	---|--|--|-----|
Sireesibeneïs a latoweherité E	---||-|------||-|---|------||
guu ern eleseessa lcel esiu sque	---⌫---⌫|--||----⌫--|-⌫-|--⌫---|
enparmenableté	-|------------|
Parch ascunsi urznusben eïssumtei	--|--⌫-----|-⌫--|--|---⌫------|--|
let ue nnumel sieclee	-|-⌫--⌫|--|-|-----||
els iecle del	-|-⌫----|--|
Siree ncestiurn sen zpe cchi é	---|-⌫|---|---|---⌫|--⌫----⌫-|
nusgua rder	--|---⌫---|
Aiesmerc idenus	---|----⌫|-|--|
Sireaiesmercid en us	---|---|----|-⌫|-⌫-|
Seitfeite latuemerci z	---|----|-|--|-----⌫|
S iresurnussen unc eoquenus esperames ent ei	-⌫--|--|--|---⌫-|-⌫-|--|--|--------|-|-⌫-|
esperén es era i cunfund uz en parm anable	------|-⌫|-⌫---⌫|-------⌫-|-|----⌫-----|
PRO PH ETIA	---⌫--⌫---|
Beneeidseit	------|---|
Damnesdeusde	---------|-|
Israhel karilreuisdad e sifistraenç unde	------|--|-|-------||-|---|------⌫-|-|
seon pe ople Esie sdreçadlecornde	---|--⌫---||-|-⌫-------|-|---|-|
saludan unsenl ameisunde	----||-⌫--|-|-⌫|-----|-|
Sicumilparladpa rlabuchedes	----|-|-----|--⌫|-|----|--|
sainz ki desl e secle	----|-|--|-⌫|----|
suntdesprophetesdelu i	---|--|--------|-|--⌫|
Saluddenoz enemisede lamain	----|-|--|-----||-|-|---|
de t restudkinunshaïrentAfairemisericordeodnoz	-|-⌫-----|-|---|-------||----|----------|-|--|
remem brer de suen	-----⌫---|-|---|
sainttestamen t	----|--------⌫|
Leseirementqueil	-|--------|--|-|
Ab ra h amnostrepere aduner	--⌫--⌫-⌫-|-----|---||----|
Quesenzpoür de	--|---|----|-|
lamei ndenozenemisdeliuré seruumsa	-|---⌫|-|--|-----|-------|------||
Ense i ntee d e eniustisedeuant lu i	-|--⌫-⌫----⌫||-|------|-----|--⌫|
t uzno ziurz E tu e mfesprophet edel	-⌫-|--⌫|---||-|-⌫---|-------⌫|--|
Altserasapeleddeua nt	--|----|-----|----⌫-|
irasacerte sdeua n tlafacedel	---|------⌫|----⌫-⌫|-|---|--|
Seignur apa r eil er	------|---⌫-⌫---⌫-|
lesueiesdelui	--|----|-|--|
A duner sciencedesaludalpoplede	|----|------|-|----|-|----|-|
l ui en par dundelur pechied	-⌫-|-|---⌫--|-|--|------|
entr aile sdelamisericordedenostre	----⌫----⌫|-|-|----------|-|-----|
De u es quels iluisitadnunsneisanddehalt	--⌫|-|----|-|------|---|------|-|---|
En lumin eracezkienteniebres e	--⌫-----⌫-||--|-|-|--------||
en umbredemortsi ent	-|----|-|---|--⌫--|
aesdreciernoz piezen	|--------|--|---|-|
la ueiedepei s	-|---|-|---⌫|
Magnified la mei eanme	--------|-|---⌫|---|
DamnedeuE esioïdsei mis espirid e n	-------||------|--|--|------|-⌫|
Deumunsalueür	--|--|-------|
Kerilre gua rd a dlahumili té desa	--|-|--⌫---⌫--⌫-⌫|-|------⌫--|-|-|
anceleesteuus	-----|------|
a decert esdeceobeneüré e	-⌫------⌫-|-|--|---------⌫|
medi r runttutesgeneratiuns	-|--⌫-⌫---|----|----------|
Kar cilfis tame igranzchoseskipu i sanzest	--|--|---⌫||--⌫|----|-----|-|--⌫-⌫---|--|
ele s eintn un de luiE la	|-|-⌫---|-⌫-|-|--||-|
misericorde de lui de	----------|-|--|-|
lignede enlignedesascr emanz	------|-|-------|-|--⌫----|
Ilfistpuisanceen	-|---|-------|-|
sunbraz d espa rpeilatles orguilus enla	--|---|-⌫----⌫------|--|-------|-|-|
pens é de s u nquer	----⌫-|-|-⌫-⌫|---|
Ildeposadlesp uisanz	-|------|--|-⌫-----|
delsieg e eesalc eadles	--|----⌫||-----⌫--|--|
Lesfameil anzemplid de b iensele s richesleisadueins	--|------⌫--|-----|-|-⌫---||--⌫|-----|-----|----|
Isr aelsunenfant	---⌫--|--|-----|
siserecordedde samiser icorde	-|-|-------|-|-|-----⌫-----|
Si cum i lparlad a	--⌫--|-⌫|-----||
no z perresa	--⌫|-----||
Ab r aha meala	--⌫-⌫---⌫|||-|
semen ced elui	-----⌫-|-⌫|--|
e ssiecles	-⌫|------|
Orleisestutun serfo	-|-----|-|--|---||
Siresel unctaparoleenpeis	---|---⌫--|-|-----|-|---|
Kerlimie noi luirenttunsaluabl e	--|-|---⌫|--⌫|-----|--|-------⌫|
L eque l tuapareilasd euant	-⌫----⌫|-|--------|-⌫----|
t uzpuples	-⌫-|-----|
Lumierealareuelationdesgenze la	------||-|---------|--|---||-|
glo ried e	---⌫--|-⌫|
Gloireessuueraine shal te c esa	-----|-|---------⌫|---⌫--⌫-⌫-||
Deu Eenterrepaiz as	--||-|----|---|-|
h oume sdebon e uo le nté	-⌫----⌫|-|---⌫|--⌫--⌫---|
Nusloüm st ei	--|-----⌫|-⌫-|
Beneïssumstei	----------|--|
aour umstei	----⌫--|--|
Glo rifiums tei	---⌫------|--|
Graec esfaime s a	-----⌫-|-----⌫||
te ipourtagrantgloire	--⌫|---|-|----|-----|
De usreisce lestres	--⌫-|---|--⌫------|
Peretutp u issanz	---|--|-⌫-⌫-----|
Fi lz unsul engenu i d	--⌫-|-|--|------⌫-⌫|
Deusag ne ls	---|--⌫--⌫-|
Kitol slespechiez	-|---⌫|--|------|
del mun d a ies m erci denus	--|---⌫|-⌫--|-⌫---|-|--|
Tuki tols les	-|-|---|--|
pechiezdel mundrecei fno stredepreiem ent	------|--|---|-----⌫|--⌫---|--------⌫--|
la d estredel	-|-⌫----|--|
Pereaiesme rci denu ns	---|---|--⌫--|-|--⌫-|
Kertu souls sainz	--|-|----|----|
Esperitengloirede	------|-|-----|-|
Cer teinement	---⌫--------|
DOMIN IC A	-----⌫--⌫|
Perreki ies esciels	----|-|--|-|----|
seit seint efi ez	---|-----⌫---⌫-|
litun sn uns	-|---⌫|-⌫--|
A uiengetletuens regnes	-⌫------|-|----|-----|
S e itfeitelatue	-⌫-⌫-|----|-|--|
uolentez si c umencie leenla	-------|--⌫-⌫-|-|---⌫||-|-|
Nostre p eincha skeiurneldunenus hoiEp a rd une anu s	-----|-⌫--|---⌫--------|---|--|--||-⌫-⌫--⌫--||--⌫|
detessicum nuspardun unsa	----|----|--|------⌫--||
noz detur sEn e	--|-----⌫||-⌫|
nus meines e n ten tei sun	--|-----|-⌫|---⌫---⌫--|
Meis deli urenusde	---|----⌫--|--|-|
I ssi seit	-⌫--|---|
APOS TOLORUM	----⌫------|
I eo creien	-⌫-|---|-|
pua n tlecriaturdeciel	---⌫-⌫|-|------|-|---|
e d eterreeen	|-⌫|----||-|
Cristsunfil	----|--|--|
unieln ostre	----|-⌫----|
Kiconceüzest del	-|-------|--|--|
Espiritn ezde	------|-⌫-|-|
Mariela. ..... ..	----|-|||||||||
Pi l at e cruci f iezmorzeseueliz	--⌫-⌫--⌫|-----⌫-⌫--|---||------|
D esc e ndied asen fers eltier zi urnrel euad de	-⌫---⌫-⌫----|-|--⌫---|-|----⌫|-⌫--|---⌫---|-|
Munt adascielssiet a ladestrede	----⌫-|-|----|---||-|-----|-|
Perretrestutpuant Diluc esta uenir	----|------|----||---|--||----|
iugie r lesuiseles morz	-----⌫|--|--||--|---|
Ieo creiel	--|---|-|
Espir its einte	-----⌫-|-⌫----|
Eglisecat holica lacommuniun des seintes	-----|---⌫-----|-|--------|--|------|
chosesremissiundespecc hiezr esurrecciun	-----|--------|--|----⌫---|-⌫----------|
de charn uiepardurable	-|----|--|---------|
Kiunquesuultsalfestredeuanttutes	-|-----|---|---|----|-----|----|
choses est	-----|--|
busui n queiltiengela	-----⌫|--|-|-----|-|
Laq uelesecha scunentie re enientmalm isene guarderat	---⌫---|-|---⌫---|-----⌫-||----|----⌫--|-|--------|
senz dutancep ardurablementperirat	---|------|-⌫------------|------|
Ices t eest ace rtes la co mm une feiqueun	----⌫-⌫|--|---⌫---|-|--⌫--⌫--|--|--|-|
Deuentern itée la ter n it é enunité unurum	--|-|----⌫---||-|---⌫-⌫--⌫-|-|-----|-----|
Ne mieconfunda nz les persones	-|--|--------⌫-|--|-------|
nedelasub stance deseuranz	-|-|-|---⌫-----|--------|
Altre estac ertes lapersone	----|--|--⌫----|-|------|
Pe rrealtredel	--⌫--|----|--|
Fiz altredel	--|----|--|
Pe rree de l	--⌫--||--⌫|
Espirituneestdiuinitedueleglorieen se mble	------|--|--|--------|---|-----|--⌫--⌫---|
pardurab lemaiest ed	--------⌫-|------⌫-|
Quelsest l i	----|--|-⌫|
Perrestae lsestli	-----|---⌫-|--|-|
Fi z tael sestli	--⌫|----⌫|--|-|
Nientcriedli	----|----|-|
Perres nientcrie dli	-----|----|----⌫|-|
Fiznientcried	--|----|----|
Perres gr anz li	-----|--⌫--|-|
Fiz gr an zl i	--|--⌫--⌫|-⌫|
Pardurables le	----------|-|
Perre pardu rabl esli	----|-----⌫----⌫-|-|
Fiz p a rdurabl es	--|-⌫-⌫-------⌫-|
EspiridEneq ue de ntne	------||---⌫--⌫--⌫-|-|
sunt mi et reis pa rdurabl e m eisunspardurables	---|--⌫|-⌫---|--⌫-------⌫|-⌫--|--|----------|
Sicumenesu nttrei s nien tcried net rei sgran z	-----|-|--⌫-|----⌫|----⌫|----|-|-⌫---⌫|----⌫|
meisunsnientcriez e	---|--|----|----||
Ens ementtr estutp uan zli	---⌫----|--⌫----|-⌫---⌫|-|
Perretr estu tpuisanzli	----|--⌫----⌫|------|-|
Fiztrest utpuisan zli	--|-----⌫-|------⌫|-|
EspirizEnequedent nienttreistrestut puisa nz meisuns trestut	------||--------|----|----|------|-----⌫-|---|--|------|
Issifeitierementd eus es t	---|-----------|-⌫--|--⌫|
Pe r re deus	--⌫-⌫-|---|
Filz d eus est	---|-⌫--|--|
EspiridEnequede ntne	------||-------⌫-|-|
mie tres deusmei suns	--|---|---|---⌫|--|
Issifeit ierement siresli	---|----⌫-------|----|-|
Perresir es	----|---⌫-|
Fizsires li	--|----|-|
Espiri dEne qu edentne	------⌫||--⌫--⌫----|-|
mie treisseinursmeis uns estsires	--|----|------|---|--|--|----|
Kersicume senglem entcha scune p ersone	--|-----|-------⌫--|---⌫----|-⌫-----|
Deuuseinur	--||-----|
r egehirpar chrestieneueri tésumesdebuté	-⌫-----|--|---------|----⌫--|----|------|
Issife itieremen ttreis	---|--⌫---------⌫|----|
deususeinu rsdirreparcommunerelig ionsum es	---||-----⌫-|----|--|------|-----⌫--|---⌫-|
Perrede nulnest feiz ne	----|-|--||--|---|-|
c riez neeng endrez	-⌫---|-|---⌫-----|
Perresul estnientfeiz necriezm eis	----|--|--|----|---|-|----|-⌫--|
enge ndrez	----⌫----|
Espirid del	------|--|
F izne feiz necriez	-⌫-|-|---|-|----|
n eengendrez mei sauantei suz	-⌫|--------|---⌫|----|--⌫--|
Dunchesestu ns	------|--|-⌫-|
Pe rrenienttreisper resuns	--⌫--|----|----|---⌫--|--|
Filznienttreis	---|----|----|
Espirizn ien t	------|-⌫---⌫|
Etenices te tr initedn ulec hoseprimesude reinsnule	-|-|----⌫-|--⌫-----|-⌫--|-⌫---|-----||--⌫----|---|
chose gre indreu mei ndre	----|---⌫----||---⌫---|
Meistutelestreis	---|---|--|----|
personesensemb lepardurablesael s m e esm essunt eensemble	-------|------⌫-|----------||--⌫|-⌫-⌫---⌫-|---||-------|
Issi q u epar	---|-⌫-⌫|--|
t uteschoses si cumia	-⌫---|-----|--⌫--|-|
surditechoseeste	------|----|--||
la tern itezen u nit é el a	-|----⌫---|-|-⌫---⌫-||-⌫|
unit eze n ternité seit	----⌫-|-⌫|-------|---|
duncsa lf es treisside la	---|--⌫-|--⌫--|---|-|-|
Ternite ́sen ted	-------⌫|---⌫--|
Meisb u suinablechoseest alapar durablesalud	---|-⌫-⌫-------|----|--||-|---⌫------|----|
quelaen carnatiun acertesde	--|-|--⌫--------|------|-|
Crist fedeilmentcr ei ed	----|---------|--⌫--⌫-|
Estdunkesfe i zdre iturier e que nuscre ü mse	--|-----|--⌫-⌫|---⌫-------⌫|--|--|---⌫--⌫-||
rege hissunske r nost r e	----⌫------|--⌫|----⌫-⌫|
Deus ehuem	---||---|
Deusest delasustancedel	---|--|-|-|-------|--|
P erredeuants i clesengendreze	-⌫---|-----|-⌫-⌫---|--------||
hueme st de la	---|-⌫-|-|-|
s u st ancedesamereensi eclened	-⌫-⌫--⌫---|-|-|---|-|--⌫---|--|
Deusparfizh uem deanmereidnableede humeinecharn	---|-----|-⌫--|-|---|--------||-|------|----|
p erm enan d	-⌫---⌫----⌫|
Perreseluncla diuinité meind redel	----|-----|-|--------|-----⌫-|--|
Perreselunchumani ted	----|-----|------⌫--|
Liquelsiaseitceoqueil	------|-|---|--|--|-|
Deusehu em nie nt d u ineq u edent meisunsest	---||--⌫-|---⌫-|-⌫-⌫|---⌫-⌫----|---|--|--|
Unsacertes nie ntp ar le trest urnementdelad iui nitéen	--|------|---⌫-|-⌫-|-|-----⌫-------|-|-|-⌫---⌫----|-|
charnme is	----|--⌫-|
parl apernance de lhuma nit é	--|-⌫|-------|--⌫|----⌫---⌫-|
Uns de tutentutnientpa rla cunfu si un	--|-|--|-|--|----|--⌫|-|-----⌫--⌫-|
de las ustancemeisparl aunit édeper s one	-|-|-⌫------|---|--|-⌫|----⌫-|-|---⌫-⌫--|
lalmereid nablee	|---|----⌫----||
lacharnse st uns huemissi	-|-----|-⌫-|--|---|---|
Deusehuemestuns	---||---|--|--|
Kisuffridpeainnespur	-|------|-------|--|
nostre saludde scenditas enfersel	-----|----|--⌫------|-|-----|-|
tierzi urn se	----|-⌫--|-|
esdreçad de mort	--------|-|---|
M untadesc iels siet a lades tre	-⌫----|-|-⌫---|---||-|---⌫--|
Perre trestutpuisa nt d ilucesta	----|------|-----⌫-||---|--||
uenir iugierlesu iselesmorz	----|-----|--|-⌫-||--|---|
Alq uiauen ement tuzhumesunt	-|-⌫-|----⌫----|--|----|--|
a esdrecierodlur	|--------|-|--|
cors euntarendrede lurfeiz demenies reisun	---||--||-----|-|--|---|-------|-----|
Equibiensfire nt	|--|----|----⌫-|
irunten uiepa rmanab leki	----|-|--|--⌫------⌫-|-|
a certesmal	-⌫-----|--|
el fuu p armanable	-|--|-⌫--------|
Ceste estl a feizcommunelaquelequ icunkesfedeileme nt e ferme ment	----|--|-⌫|---|------|------|--⌫------|---------⌫-||-----⌫---|
necrerrad s alfs estr ene pur ra d	-|------|-⌫---|----⌫|-|---⌫--⌫|
Ceste sal med emeniementest	----|---⌫-|-⌫---------|--|
escrite de	------|-|
Dauide siest	----||-|--|
numbredescentcinquante	-----|--|---|--------|
sal mesceste fistilquantilcumbatit	---⌫--|----|---|-|----|-|-------|
Ces te s almees	---⌫-|-⌫---|-|
Ebre us liur esnen esth euemeis	----⌫-|----⌫-|--|--|-⌫--|---|
dessetanteentrepretu rsestaiustetepur	--|------|----------⌫-|--|------||--|
ceo feita refuser	--|---||------|
Ieoerepetringnet h ent remes	--|--|----------⌫|---⌫-|--|
frer e seplu siusn esen la me isunmu npere ieo	----⌫-⌫||---⌫|----⌫-|-|-|--⌫---|--⌫|---|--|
peiss eielesou eilesmunpere	-----⌫--|--|--⌫----|--|---|
Mesmeinsfir entleo rgnee mi d ei	--|----|---⌫--|-|-⌫---||-|-⌫-|
afaiteren t le saltierE	---------⌫|-|------||
kiannu nciadamun	-|----⌫----||--|
Seinur de m ei	-----|-|-⌫-|
S iresmeme det uzparoït	-⌫---|---|-|-⌫-|------|
I lm emee nueiatsun angele	-⌫|-⌫--|-⌫-----|--|-----|
eporta tmeidesueilesmun	|-----⌫|--|--|-----|--|
perre eu instme i enlamise ricorde	----||-⌫---|--⌫|-|-|----⌫------|
d e saun ccio n	-⌫|-|--⌫----⌫|
Mesfreresb o ns e granz en efudbo npleisir	--|-----|-⌫-⌫-||----||-⌫|--|--⌫|------|
Ieoissienc ontr éu nestrang e	--|---|---⌫----⌫-|-⌫|-------⌫|
eilmemald istens essimulacres	|-|-|----⌫--|-|-⌫-|---------|
Ie o acertest reitedelui sa spée c olpai sunchief	--⌫|------|-⌫----|-|--|-|----|-⌫----|--|----|
reprucedesfiz	------|--|--|
